asset_type,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
LegacyMarker,0.5014395713806152,0.06917846202850342,0.4226066768169403,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5009291172027588,0.07024167478084564,0.4227582812309265,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5005708336830139,0.07211659848690033,0.4229183793067932,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.5002022385597229,0.0746917724609375,0.4231169521808624,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49984872341156006,0.07764609158039093,0.4234713613986969,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49950575828552246,0.0814930647611618,0.4237407445907593,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4992510676383972,0.08616983145475388,0.4240327477455139,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49898815155029297,0.09162823110818863,0.42437559366226196,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4987727403640747,0.09791680425405502,0.4246211349964142,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4984150230884552,0.10499536991119385,0.4249267280101776,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4982580840587616,0.11273330450057983,0.4250771999359131,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4979405403137207,0.12112733721733093,0.42510879039764404,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4976862967014313,0.13002710044384003,0.4252234101295471,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4974217414855957,0.1395818144083023,0.4250200688838959,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4974702298641205,0.14944840967655182,0.4249078035354614,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49765923619270325,0.15956497192382812,0.4237816333770752,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4983508288860321,0.16969306766986847,0.42241984605789185,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49692508578300476,0.18243220448493957,0.42289531230926514,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4970723092556,0.19313880801200867,0.4218330979347229,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4966214597225189,0.20489950478076935,0.42077410221099853,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4960712790489197,0.21668854355812073,0.41942641139030456,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.495789110660553,0.2283233106136322,0.41783812642097473,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49550408124923706,0.2399633377790451,0.41594791412353516,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49551042914390564,0.25158751010894775,0.41403165459632873,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4953072667121887,0.26309338212013245,0.411892831325531,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4952448904514313,0.27444085478782654,0.4094821512699127,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4951402246952057,0.28553229570388794,0.40686196088790894,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.495164692401886,0.29619893431663513,0.4042166471481323,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49525779485702515,0.3064245283603668,0.4015002250671387,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4952693581581116,0.316358745098114,0.39855268597602844,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49527862668037415,0.3257244825363159,0.39551880955696106,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4954080879688263,0.33482035994529724,0.39239436388015747,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4956081211566925,0.3433549702167511,0.3891843259334564,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.4955836534500122,0.3515671193599701,0.3859277069568634,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49583253264427185,0.35939666628837585,0.3827093243598938,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49593570828437805,0.36674052476882935,0.3794476389884949,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49612751603126526,0.3735488951206207,0.37633952498435974,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49617117643356323,0.37986478209495544,0.373167484998703,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49632716178894043,0.38558006286621094,0.37013909220695496,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49656835198402405,0.3907647132873535,0.36724281311035156,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49684104323387146,0.3954985439777374,0.3644353151321411,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.49705061316490173,0.39965444803237915,0.3617632985115051,6,0,1,55,GBYK,small,right,large,left
